127.0.0.1 - - [15/Jun/2024:14:27:47 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.index.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/avatar3.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/avatar4.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/avatar2.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/avatar1.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:39:56 +0700] "GET /new-jdbc/assets/images/avatars/user.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6302
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:41:21 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 304 -
